area,prefecture,population
Jacksonville,North Carolina,108856
Pottstown,Pennsylvania,108758
Inglewood,California,108151
League City,Texas,107536
Eau Claire,Wisconsin,107404
Turlock,California,107317
Temple,Texas,107258
Sioux City,Iowa,106455
Salisbury,Maryland,106447
Davie,Florida,106306
Daly City,California,106280
Highlands Ranch,Colorado,105631
Allen,Texas,105623
West Covina,California,105101
Sparks,Nevada,105006
Wichita Falls,Texas,104683
San Mateo,California,104430
Columbia,Maryland,103991
Norwalk,California,103949
Rialto,California,103526
Manteca,California,103420
Arden-Arcade,California,102864
El Cajon,California,102708
Burbank,California,102511
Longmont,Colorado,102474
Renton,Washington,101751
Vista,California,101638
Logan,Utah,101616
Prescott Valley,Arizona,101539
Vacaville,California,101444
Edinburg,Texas,101170
Carmel,Indiana,101068
Spokane Valley,Washington,101060
San Angelo,Texas,101004
La Crosse,Wisconsin,100693
Idaho Falls,Idaho,100442
Holland,Michigan,100432
Charlottesville,Virginia,100416
Longview,Texas,100330
Tracy,California,100049
Boca Raton,Florida,99805
Lafayette,Colorado,99645
Lee's Summit,Missouri,99357
Rio Rancho,New Mexico,99178
South Fulton,Georgia,99155
Beaverton,Oregon,99037
Lawrence,Kansas,98648
Bismarck,North Dakota,98345
Orem,Utah,97828
Middletown,Ohio,97730
San Tan Valley,Arizona,96692
San Marcos,California,96664
Sandy,Utah,96380
Federal Way,Washington,96289
Mandeville,Louisiana,95968
Hesperia,California,95750
Brockton,Massachusetts,95708
Compton,California,95605
Riverview,Florida,95338
Fishers,Indiana,95310
Sunrise,Florida,95166
Bowling Green,Kentucky,95135
Roswell,Georgia,94763
Menifee,California,94756
Plantation,Florida,94580
Dover,New Hampshire,94563
Quincy,Massachusetts,94470
Portsmouth,Virginia,94398
Chino,California,94371
Lynn,Massachusetts,94299
Edmond,Oklahoma,94054
Hanford,California,94028
Dearborn,Michigan,93932
Livonia,Michigan,93665
South Gate,California,93444
Vineland,New Jersey,93239
Florence,South Carolina,93131
Portsmouth,New Hampshire,93069
Slidell,Louisiana,93040
Lawton,Oklahoma,93025
Kirkland,Washington,93010
Missoula,Montana,92895
Auburn,Alabama,92777
Rapid City,South Dakota,92664
Terre Haute,Indiana,92490
Suffolk,Virginia,92108
Blacksburg,Virginia,91888
Mount Pleasant,South Carolina,91684
Carson,California,91394
Conroe,Texas,91079
Alafaya,Florida,91068
Livermore,California,90923
Westminster,California,90643
Germantown,Maryland,90582
Santa Monica,California,90401
New Braunfels,Texas,90209
Fall River,Massachusetts,89541
Albany,Georgia,89217
Miami Beach,Florida,88885
Norwalk,Connecticut,88816
San Leandro,California,88815
O'Fallon,Missouri,88673
Newton,Massachusetts,88414
Muncie,Indiana,87879
Citrus Heights,California,87796
State College,Pennsylvania,87723
Town 'n' Country,Florida,87338
Decatur,Illinois,87236
Jackson,Michigan,87110
Fort Myers,Florida,87103
Goodyear,Arizona,86840
Dalton,Georgia,86628
Bryan,Texas,86276
Waukegan,Illinois,86075
Hawthorne,California,86068
Anderson,Indiana,85992
Redwood City,California,85925
Hoover,Alabama,85768
Lake Forest,California,85531
Napa,California,85239
Whittier,California,85098
Clifton,New Jersey,85052
Largo,Florida,84948
Bloomington,Minnesota,84943
Johns Creek,Georgia,84579
Newport Beach,California,84534
Mission,Texas,84331
Milpitas,California,84196
Troy,Michigan,84092
Madera,California,84086
Joplin,Missouri,84048
Chino Hills,California,83853
Alhambra,California,83750
Franklin,Tennessee,83097
Melbourne,Florida,83029
Port Huron,Michigan,82970
Springfield,Ohio,82820
Mountain View,California,82739
Zephyrhills,Florida,82476
St. Augustine,Florida,82180
Flagstaff,Arizona,81974
Buena Park,California,81788
Pleasanton,California,81777
Silver Spring,Maryland,81773
Atascocita,Texas,81557
Westland,Michigan,81511
Auburn,Washington,81464
Cranston,Rhode Island,81456
Somerville,Massachusetts,81360
Folsom,California,81328
Springdale,Arkansas,81125
Deerfield Beach,Florida,81066
Warwick,Rhode Island,81004
Cicero,Illinois,80796
Farmington Hills,Michigan,80612
Newark,Ohio,80451
Williamsburg,Virginia,80441
Brooklyn Park,Minnesota,80389
Hattiesburg,Mississippi,80138
Alexandria,Louisiana,80129
Lawrence,Massachusetts,80028
Florence,Alabama,79964
Valdosta,Georgia,79820
Plymouth,Minnesota,79768
Buckeye,Arizona,79620
Georgetown,Texas,79604
Cheyenne,Wyoming,79484
Cedar Park,Texas,79462
The Villages,Florida,79372
Kokomo,Indiana,79351
Tustin,California,79348
Lakewood,California,79307
Perris,California,79291
St. Joseph,Missouri,79161
Flower Mound,Texas,79135
Pharr,Texas,79112
Pine Hills,Florida,78995
Alton,Illinois,78905
Loveland,Colorado,78877
Boynton Beach,Florida,78679
New Rochelle,New York,78557
Anderson,South Carolina,78512
Jonesboro,Arkansas,78394
Lebanon,Pennsylvania,78302
Parma,Ohio,78103
Layton,Utah,78014
Elizabethtown,Kentucky,78002
Texarkana,Texas,77964
Alameda,California,77624
Kankakee,Illinois,77429
Watsonville,California,77352
Porterville,California,77318
Baytown,Texas,77192
Upland,California,77140
Davis,California,76997
Camarillo,California,76931
South Jordan,Utah,76598
Battle Creek,Michigan,76514
Bellflower,California,76435
San Marcos,Texas,76218
San Ramon,California,75995
Lake Jackson,Texas,75860
Bethlehem,Pennsylvania,75815
Wyoming,Michigan,75667
Oshkosh,Wisconsin,75536
Hammond,Indiana,75522
Waldorf,Maryland,75489
Missouri City,Texas,75457
Pasco,Washington,75432
Wheeling,West Virginia,75392
Kendall,Florida,75312
Baldwin Park,California,75251
Rancho Cordova,California,75087
Conway,Arkansas,74951
Gary,Indiana,74879
Altoona,Pennsylvania,74829
Lodi,California,74773
Arlington Heights,Illinois,74760
Bolingbrook,Illinois,74545
Rochester Hills,Michigan,74516
Winchester,Virginia,74417
Framingham,Massachusetts,74416
Hilton Head Island,South Carolina,74139
Centreville,Virginia,74125
Union City,California,74107
Owensboro,Kentucky,74068
Jackson,Tennessee,74065
Cleveland,Tennessee,73596
Wausau,Wisconsin,73593
Camden,New Jersey,73562
Anniston,Alabama,73501
